year,age,mid_year_population,num_week
2016,75 to 84,94663.08398430685,9
2016,75 to 84,94692.76836550325,10
2016,75 to 84,94722.66778777925,11
2016,75 to 84,94752.78671576505,12
2016,75 to 84,94783.12961409084,13
2016,75 to 84,94813.70094738681,14
2016,75 to 84,94844.50518028313,15
2016,75 to 84,94875.54677741,16
2016,75 to 84,94906.8302033976,17
2016,75 to 84,94938.35992287613,18
2016,75 to 84,94970.14040047578,19
2016,75 to 84,95002.1761008267,20
2016,75 to 84,95034.47148855912,21
2016,75 to 84,95067.0310283032,22
2016,75 to 84,95099.85918468915,23
2016,75 to 84,95132.96042234714,24
2016,75 to 84,95166.33920590737,25
2016,75 to 84,95200,26
2016,75 to 84,95233.94804650481,27
2016,75 to 84,95268.19169629978,28
2016,75 to 84,95302.74007751246,29
2016,75 to 84,95337.60231827042,30
2016,75 to 84,95372.78754670122,31
2016,75 to 84,95408.3048909324,32
2016,75 to 84,95444.16347909153,33
2016,75 to 84,95480.37243930614,34
2016,75 to 84,95516.94089970383,35
2016,75 to 84,95553.87798841212,36
2016,75 to 84,95591.19283355858,37
2016,75 to 84,95628.89456327078,38
2016,75 to 84,95666.99230567623,39
2016,75 to 84,95705.49518890255,40
2016,75 to 84,95744.41234107726,41
2016,75 to 84,95783.7528903279,42
2016,75 to 84,95823.52596478206,43
2016,75 to 84,95863.7406925673,44
2016,75 to 84,95904.40620181114,45
2016,75 to 84,95945.53162064115,46
2016,75 to 84,95987.1260771849,47
2016,75 to 84,96029.19869956996,48
2016,75 to 84,96071.75861592384,49
2016,75 to 84,96114.81495437413,50
2016,75 to 84,96158.37684304838,51
2016,75 to 84,96202.45341007414,52
2016,85+,35932.44094609579,1
2016,85+,35951.43007538536,2
2016,85+,35970.40488126484,3
2016,85+,35989.36411497107,4
2016,85+,36008.30652774085,5
2016,85+,36027.23087081103,6
2016,85+,36046.1358954184,7
2016,85+,36065.0203527998,8
2016,85+,36083.882994192056,9
2016,85+,36102.722570831975,10
2016,85+,36121.53783395638,11
2016,85+,36140.327534802105,12
2016,85+,36159.09042460596,13
2016,85+,36177.825254604766,14
2016,85+,36196.53077603535,15
2016,85+,36215.205740134545,16
2016,85+,36233.84889813914,17
2016,85+,36252.45900128599,18
2016,85+,36271.034800811896,19
2016,85+,36289.57504795369,20
2016,85+,36308.07849394819,21
2016,85+,36326.54389003221,22
2016,85+,36344.96998744258,23
2016,85+,36363.35553741612,24
2016,85+,36381.69929118965,25
2016,85+,36400,26
2016,85+,36418.255651638254,27
2016,85+,36436.46118011259,28
2016,85+,36454.61075598546,29
2016,85+,36472.69854981931,30
2016,85+,36490.71873217661,31
2016,85+,36508.66547361979,32
2016,85+,36526.53294471131,33
2016,85+,36544.31531601362,34
2016,85+,36562.00675808917,35
2016,85+,36579.60144150041,36
2016,85+,36597.0935368098,37
2016,85+,36614.477214579776,38
2016,85+,36631.7466453728,39
2016,85+,36648.89599975131,40
2016,85+,36665.91944827777,41
2016,85+,36682.811161514626,42
2016,85+,36699.56531002433,43
2016,85+,36716.17606436933,44
2016,85+,36732.63759511207,45
2016,85+,36748.94407281502,46
2016,85+,36765.089668040615,47
2016,85+,36781.068551351316,48
2016,85+,36796.87489330956,49
2016,85+,36812.502864477814,50
2016,85+,36827.94663541852,51
2016,85+,36843.20037669413,52
2017,0 to 14,367479.6249707268,1
2017,0 to 14,367537.0444638766,2
2017,0 to 14,367593.15823498205,3
2017,0 to 14,367647.921329397,4
2017,0 to 14,367701.28879247536,5
2017,0 to 14,367753.21566957084,6
2017,0 to 14,367803.65700603736,7
2017,0 to 14,367852.5678472287,8
2017,0 to 14,367899.9032384988,9
2017,0 to 14,367945.61822520144,10
2017,0 to 14,367989.6678526904,11
2017,0 to 14,368032.0071663196,12
2017,0 to 14,368072.59121144284,13
2017,0 to 14,368111.375033414,14
2017,0 to 14,368148.31367758685,15
2017,0 to 14,368183.36218931526,16
2017,0 to 14,368216.4756139531,17
2017,0 to 14,368247.60899685416,18
2017,0 to 14,368276.7173833723,19
2017,0 to 14,368303.75581886136,20
2017,0 to 14,368328.6793486752,21
2017,0 to 14,368351.4430181676,22
2017,0 to 14,368372.0018726925,23
2017,0 to 14,368390.31095760356,24
2017,0 to 14,368406.3253182548,25
2017,0 to 14,368420,26
2017,0 to 14,368431.3110299935,27
2017,0 to 14,368440.31836259214,28
2017,0 to 14,368447.1029339531,29
2017,0 to 14,368451.7456802337,30
2017,0 to 14,368454.3275375912,31
2017,0 to 14,368454.929442183,32
2017,0 to 14,368453.63233016623,33
2017,0 to 14,368450.51713769825,34
2017,0 to 14,368445.6648009363,35
2017,0 to 14,368439.1562560377,36
2017,0 to 14,368431.0724391598,37
2017,0 to 14,368421.49428645975,38
2017,0 to 14,368410.502734095,39
2017,0 to 14,368398.17871822265,40
2017,0 to 14,368384.60317500005,41
2017,0 to 14,368369.8570405846,42
2017,0 to 14,368354.0212511334,43
2017,0 to 14,368337.1767428039,44
2017,0 to 14,368319.4044517533,45
2017,0 to 14,368300.7853141389,46
2017,0 to 14,368281.40026611794,47
2017,0 to 14,368261.3302438478,48
2017,0 to 14,368240.6561834857,49
2017,0 to 14,368219.4590211889,50
2017,0 to 14,368197.8196931148,51
2017,0 to 14,368175.81913542055,52
2017,0 to 14,368153.5382842635,53
2017,15 to 44,721579.1703096738,1
2017,15 to 44,721477.1466685345,2
2017,15 to 44,721376.8071073096,3
2017,15 to 44,721278.2256245834,4
2017,15 to 44,721181.4762189408,5
2017,15 to 44,721086.6328889661,6
2017,15 to 44,720993.7696332441,7
2017,15 to 44,720902.9604503593,8
2017,15 to 44,720814.279338896,9
2017,15 to 44,720727.8002974392,10
2017,15 to 44,720643.5973245732,11
2017,15 to 44,720561.7444188828,12
2017,15 to 44,720482.3155789522,13
2017,15 to 44,720405.3848033664,14
2017,15 to 44,720331.0260907097,15
2017,15 to 44,720259.3134395668,16
2017,15 to 44,720190.3208485221,17
2017,15 to 44,720124.1223161604,18
2017,15 to 44,720060.7918410661,19
2017,15 to 44,720000.403421824,20
2017,15 to 44,719943.0310570184,21
2017,15 to 44,719888.748745234,22
2017,15 to 44,719837.6304850554,23
2017,15 to 44,719789.7502750672,24
2017,15 to 44,719745.1821138539,25
