Country,WeekEnding,Deaths,Gender,Year
S,14/10/2017,1133,All,2017
S,14/10/2018,1081,All,2018
S,14/10/2019,1143,All,2019
S,13/10/2020,1072,All,2020
S,14/10/2021,1345,All,2021
S,14/10/2022,1264,All,2022
S,21/10/2013,995,All,2013
S,21/10/2014,1013,All,2014
S,21/10/2015,989,All,2015
S,20/10/2016,1070,All,2016
S,21/10/2017,1067,All,2017
S,21/10/2018,1031,All,2018
S,21/10/2019,1153,All,2019
S,20/10/2020,1134,All,2020
S,21/10/2021,1323,All,2021
S,21/10/2022,1243,All,2022
S,28/10/2013,1047,All,2013
S,28/10/2014,1111,All,2014
S,28/10/2015,981,All,2015
S,27/10/2016,1052,All,2016
S,28/10/2017,1095,All,2017
S,28/10/2018,1019,All,2018
S,28/10/2019,1115,All,2019
S,27/10/2020,1187,All,2020
S,28/10/2021,1342,All,2021
S,28/10/2022,1290,All,2022
S,04/11/2013,1008,All,2013
S,04/11/2014,1021,All,2014
S,04/11/2015,1116,All,2015
S,03/11/2016,1032,All,2016
S,04/11/2017,1062,All,2017
S,04/11/2018,1085,All,2018
S,04/11/2019,1101,All,2019
S,03/11/2020,1262,All,2020
S,04/11/2021,1298,All,2021
S,04/11/2022,1278,All,2022
S,11/11/2013,1049,All,2013
S,11/11/2014,1087,All,2014
S,11/11/2015,1028,All,2015
S,10/11/2016,1043,All,2016
S,11/11/2017,1126,All,2017
S,11/11/2018,1144,All,2018
S,11/11/2019,1184,All,2019
S,10/11/2020,1250,All,2020
S,11/11/2021,1338,All,2021
S,11/11/2022,1235,All,2022
S,18/11/2013,1016,All,2013
S,18/11/2014,1128,All,2014
S,18/11/2015,1103,All,2015
S,17/11/2016,1174,All,2016
S,18/11/2017,1175,All,2017
S,18/11/2018,1084,All,2018
S,18/11/2019,1160,All,2019
S,17/11/2020,1338,All,2020
S,18/11/2021,1277,All,2021
S,18/11/2022,1291,All,2022
S,25/11/2013,1030,All,2013
S,25/11/2014,1032,All,2014
S,25/11/2015,1054,All,2015
S,24/11/2016,1132,All,2016
S,25/11/2017,1178,All,2017
S,25/11/2018,1058,All,2018
S,25/11/2019,1229,All,2019
S,24/11/2020,1360,All,2020
S,25/11/2021,1286,All,2021
S,25/11/2022,1271,All,2022
S,02/12/2013,1039,All,2013
S,02/12/2014,1008,All,2014
S,02/12/2015,1115,All,2015
S,01/12/2016,1159,All,2016
S,02/12/2017,1153,All,2017
S,02/12/2018,1062,All,2018
S,02/12/2019,1163,All,2019
S,01/12/2020,1329,All,2020
S,02/12/2021,1333,All,2021
S,02/12/2022,1239,All,2022
S,09/12/2013,1071,All,2013
S,09/12/2014,1076,All,2014
S,09/12/2015,1089,All,2015
S,08/12/2016,1188,All,2016
S,09/12/2017,1237,All,2017
S,09/12/2018,1076,All,2018
S,09/12/2019,1108,All,2019
S,08/12/2020,1296,All,2020
S,09/12/2021,1326,All,2021
S,09/12/2022,1301,All,2022
S,16/12/2013,1064,All,2013
S,16/12/2014,1170,All,2014
S,16/12/2015,1101,All,2015
S,15/12/2016,1219,All,2016
S,16/12/2017,1335,All,2017
S,16/12/2018,1212,All,2018
S,16/12/2019,1312,All,2019
S,15/12/2020,1284,All,2020
S,16/12/2021,1359,All,2021
S,16/12/2022,1321,All,2022
S,23/12/2013,1059,All,2013
S,23/12/2014,1265,All,2014
S,23/12/2015,1146,All,2015
S,22/12/2016,1284,All,2016
S,23/12/2017,1437,All,2017
S,23/12/2018,1216,All,2018
S,23/12/2019,1277,All,2019
S,22/12/2020,1297,All,2020
S,23/12/2021,1337,All,2021
S,23/12/2022,1612,All,2022
S,30/12/2013,901,All,2013
S,30/12/2014,886,All,2014
S,30/12/2015,944,All,2015
S,29/12/2016,1133,All,2016
S,30/12/2017,1168,All,2017
S,30/12/2018,1058,All,2018
S,30/12/2019,1018,All,2019
S,29/12/2020,1205,All,2020
S,30/12/2021,1085,All,2021
S,30/12/2022,1198,All,2022
