year,num_week,true_death,fit_death,lower,upper,excess_death
2017,37,972,1022.1838269558821,813.9979999999999,1256.0110000000022,-50.18382695588207
2017,38,1049,1017.2070721765774,810.997,1246.0030000000006,31.792927823422588
2017,39,1056,1012.2542132060491,791.997,1245.0040000000008,43.745786793950856
2017,40,1016,1069.4835838780375,863.998,1313.0030000000006,-53.48358387803751
2017,41,1133,1064.2756907199603,838.991,1288.005000000001,68.72430928003973
2017,42,1067,1059.0930143851801,817.9979999999999,1319.0020000000004,7.90698561481986
2017,43,1095,1053.9355021245115,824.999,1291,41.06449787548854
2017,44,1062,1123.283593228085,916.998,1371.0040000000008,-61.28359322808501
2017,45,1126,1117.813550944748,887.996,1360.0120000000024,8.18644905525207
2017,46,1175,1112.370285404227,899.9979999999999,1346.0030000000006,62.629714595773066
2017,47,1178,1106.9537369157654,889.9979999999999,1345.0080000000016,71.04626308423462
2017,48,1153,1205.340138447431,973.998,1474.0030000000006,-52.340138447430945
2017,49,1237,1199.471575705816,973.998,1464.0070000000014,37.528424294184106
2017,50,1335,1193.632046091396,966.999,1454.0020000000004,141.36795390860402
2017,51,1437,1187.821481043243,962.999,1457.0060000000012,249.178518956757
2017,52,1168,1111.1734052605973,885.9929999999999,1362.0020000000004,56.82659473940271
2018,1,1531,1326.6426646236337,1088.989,1605.0010000000002,204.35733537636634
2018,2,1899,1404.3833986557634,1153.993,1687.0140000000029,494.61660134423664
2018,3,1629,1397.5503304662147,1141,1697.0010000000002,231.44966953378525
2018,4,1610,1390.751587673157,1136.999,1664.0080000000016,219.24841232684298
2018,5,1369,1275.4775821849248,1034.998,1562.0010000000002,93.52241781507519
2018,6,1265,1269.274910430312,1024.9950000000001,1549.0110000000022,-4.2749104303120475
2018,7,1315,1263.1036284741979,1018.995,1530.010000000002,51.896371525802124
2018,8,1245,1256.963653381404,1018,1528.0090000000018,-11.963653381403901
2018,9,1022,1173.5382715577034,931.997,1433.0020000000004,-151.5382715577034
2018,10,1475,1167.8363220617207,938.996,1422.0010000000002,307.1636779382793
2018,11,1220,1162.1635069233107,927.997,1398.0030000000006,57.836493076689294
2018,12,1158,1156.519745732845,933.989,1410,1.4802542671550327
2018,13,1050,1081.9051681432566,859,1332,-31.90516814325656
2018,14,1192,1060.841402810855,848.999,1314.0030000000006,131.15859718914498
2018,15,1192,1123.0223541652672,888.9989999999999,1381.0010000000002,68.97764583473281
2018,16,1136,1117.5751872706867,897.994,1382.0030000000006,18.424812729313317
2018,17,1008,1112.1562426172013,884.997,1345.0010000000002,-104.15624261720131
2018,18,1093,1086.5294420901323,871,1333.0080000000016,6.4705579098676935
2018,19,967,1016.4400705136668,813.996,1261.0040000000008,-49.4400705136668
2018,20,977,1076.0275097727747,848.998,1325.0090000000018,-99.02750977277469
2018,21,1070,1070.817652678059,863.9920000000001,1321.0140000000029,-0.8176526780589484
2018,22,998,982.273552915056,781.985,1202.015000000003,15.72644708494397
2018,23,1033,1039.8640869309295,824.995,1278.005000000001,-6.8640869309294885
2018,24,915,1034.8355565887086,814,1266.0060000000012,-119.83555658870864
2018,25,993,1029.8335434824385,813.9989999999999,1270.010000000002,-36.83354348243847
2018,26,1046,1024.8579642534073,807,1254.0070000000014,21.142035746592683
2018,27,1041,1013.9014275539243,789,1260.0010000000002,27.09857244607565
2018,28,1002,1009.0072621983898,807.998,1239.0110000000022,-7.007262198389753
2018,29,928,1004.1387871054981,794.9979999999999,1239.0040000000008,-76.13878710549807
2018,30,933,999.2957542030845,783.998,1236.0010000000002,-66.29575420308447
2018,31,969,1010.3078888505381,808.9979999999999,1252.010000000002,-41.30788885053812
2018,32,953,1005.4387151515267,780.999,1241.005000000001,-52.43871515152671
2018,33,978,1000.5946500156758,792.998,1252.0010000000002,-22.594650015675825
2018,34,941,995.7754529545794,781.992,1225.0040000000008,-54.77545295457935
2018,35,930,931.5689670572838,733.991,1168.0130000000026,-1.5689670572837713
2018,36,970,1029.619937940594,812.9910000000001,1281.0060000000012,-59.6199379405939
2018,37,1020,1024.6650290001671,817.9949999999999,1282.0010000000002,-4.665029000167124
2018,38,946,1019.7351074493037,803.997,1249.0040000000008,-73.73510744930365
2018,39,1015,1014.8299365689804,804.995,1254.0080000000016,0.170063431019571
2018,40,1042,1072.2695861325024,849.995,1309.0030000000006,-30.269586132502354
2018,41,1081,1067.1135486551925,847.9979999999999,1319.0010000000002,13.886451344807483
2018,42,1031,1061.983052735902,852,1287.0020000000004,-30.983052735901992
2018,43,1019,1056.8778586735425,834,1306.005000000001,-37.877858673542505
2018,44,1085,1126.4908852528658,907.9939999999999,1372.0040000000008,-41.49088525286584
2018,45,1144,1121.0765863416655,881.997,1360.0020000000004,22.92341365833454
2018,46,1084,1115.6886339789423,890.995,1360.0020000000004,-31.688633978942335
2018,47,1058,1110.326783372968,881.997,1355.0040000000008,-52.326783372968066
2018,48,1062,1104.9907926360922,882,1341.0060000000012,-42.99079263609224
2018,49,1076,1203.2792824450432,956.982,1480.0080000000016,-127.27928244504324
2018,50,1212,1197.496408559804,947.986,1469.0010000000002,14.503591440196033
2018,51,1216,1191.7410554568128,957.99,1454.010000000002,24.258944543187226
2018,52,1058,1114.9083634666056,903.997,1380.0020000000004,-56.90836346660558
2019,1,1104,1331.18208040179,1087.9969999999998,1618.0030000000006,-227.18208040179002
2019,2,1507,1409.2720660555544,1154.975,1670.0060000000012,97.72793394444557
2019,3,1353,1402.4961595321545,1146,1684.0010000000002,-49.49615953215448
2019,4,1208,1395.7517933388776,1157.998,1661.0010000000002,-187.75179333887763
2019,5,1206,1280.133118579234,1045,1532.0120000000024,-74.13311857923395
2019,6,1243,1273.9748846955686,1039.994,1545.0030000000006,-30.974884695568562
2019,7,1181,1267.8449396875483,1037.996,1507.0030000000006,-86.84493968754828
2019,8,1245,1261.743030246592,1019.996,1541.0020000000004,-16.74303024659207
2019,9,1125,1178.054717589146,956.999,1445.005000000001,-53.054717589146094
2019,10,1156,1172.3818772484685,951.992,1434.0090000000018,-16.381877248468527
2019,11,1108,1166.7346436761609,942.985,1417.0010000000002,-58.734643676160886
2019,12,1101,1161.1127904933028,917.9849999999999,1424.0020000000004,-60.11279049330278
2019,13,1086,1155.5160940627977,902,1407.0110000000022,-69.51609406279772
2019,14,1032,1133.0551672897002,913.995,1377.0130000000026,-101.0551672897002
2019,15,1069,1127.589593371929,907.9989999999999,1402.0010000000002,-58.58959337192891
2019,16,902,1054.8724180669801,835.995,1291.0170000000035,-152.87241806698012
2019,17,1121,1049.7797119712882,849.999,1278.0010000000002,71.22028802871182
2019,18,1131,1091.01730823189,879.996,1324.0070000000014,39.982691768110044
2019,19,1018,1020.6519507439808,797.998,1252.0040000000008,-2.6519507439808194
2019,20,1115,1080.496069930888,858.998,1343.0060000000012,34.5039300691119
2019,21,1061,1075.2695921551212,861.9979999999999,1325.0130000000026,-14.269592155121245
2019,22,1029,1005.9123587112155,804.995,1249.0030000000006,23.08764128878454
2019,23,1042,1044.1826793766763,838.994,1285.0080000000016,-2.182679376676333
2019,24,1028,1039.123436536602,818.992,1301.0070000000014,-11.123436536601957
