"","WeekEnding","CumulativeDeaths","Deaths","Gender","Year"
"625",2015-01-07,526586.939951328,8518.13958255434,"Female",2015
"626",2015-01-14,534964.119126205,8377.17917487724,"Female",2015
"627",2015-01-21,542575.300745017,7611.18161881145,"Female",2015
"628",2015-01-28,549616.514628422,7041.21388340474,"Female",2015
"629",2015-02-04,556013.258817099,6396.7441886774,"Female",2015
"630",2015-02-11,562134.843689188,6121.58487208956,"Female",2015
"631",2015-02-18,568143.197329937,6008.35364074889,"Female",2015
"632",2015-02-25,574123.684775319,5980.48744538135,"Female",2015
"633",2015-03-04,580135.238495901,6011.55372058251,"Female",2015
"634",2015-03-11,586074.792727957,5939.55423205532,"Female",2015
"635",2015-03-18,591625.007501893,5550.21477393678,"Female",2015
"636",2015-03-25,597165.66997584,5540.66247394681,"Female",2015
"637",2015-04-01,602035.286355679,4869.61637983879,"Female",2015
"638",2015-04-08,607010.199178704,4974.9128230249,"Female",2015
"639",2015-04-15,612930.459203558,5920.26002485456,"Female",2015
"640",2015-04-22,618584.485872952,5654.02666939341,"Female",2015
"641",2015-04-29,623855.238704051,5270.75283109955,"Female",2015
"642",2015-05-06,628437.50974816,4582.27104410913,"Female",2015
"643",2015-05-13,633435.305393685,4997.79564552498,"Female",2015
"644",2015-05-20,638703.085003628,5267.77960994269,"Female",2015
"645",2015-05-27,642940.751093259,4237.66608963127,"Female",2015
"646",2015-06-03,647938.108874063,4997.35778080369,"Female",2015
"647",2015-06-10,652947.857142267,5009.74826820358,"Female",2015
"648",2015-06-17,657737.503373197,4789.64623093011,"Female",2015
"649",2015-06-24,662356.08854862,4618.58517542272,"Female",2015
"650",2015-07-01,667072.171586844,4716.08303822449,"Female",2015
"651",2015-07-08,671636.044345987,4563.87275914301,"Female",2015
"652",2015-07-15,676093.686014631,4457.64166864369,"Female",2015
"653",2015-07-22,680523.526464295,4429.84044966428,"Female",2015
"654",2015-07-29,684911.986553845,4388.46008955047,"Female",2015
"655",2015-08-05,689267.667262014,4355.68070816889,"Female",2015
"656",2015-08-12,693822.350229001,4554.68296698667,"Female",2015
"657",2015-08-19,698409.917244722,4587.56701572111,"Female",2015
"658",2015-08-26,703080.674669661,4670.75742493919,"Female",2015
"659",2015-09-02,707093.611481881,4012.93681221921,"Female",2015
"660",2015-09-09,711533.689898444,4440.0784165631,"Female",2015
"661",2015-09-16,716220.3286328,4686.63873435627,"Female",2015
"662",2015-09-23,720975.013063068,4754.68443026836,"Female",2015
"663",2015-09-30,725755.117657201,4780.10459413286,"Female",2015
"664",2015-10-07,730751.3967746,4996.27911739855,"Female",2015
"665",2015-10-14,735612.939559269,4861.54278466955,"Female",2015
"666",2015-10-21,740435.11612535,4822.17656608066,"Female",2015
"667",2015-10-28,745277.922469944,4842.80634459376,"Female",2015
"668",2015-11-04,750400.914111493,5122.99164154974,"Female",2015
"669",2015-11-11,755435.214086998,5034.29997550463,"Female",2015
"670",2015-11-18,760335.669773751,4900.45568675268,"Female",2015
"671",2015-11-25,765276.474164938,4940.80439118727,"Female",2015
"672",2015-12-02,770473.287793903,5196.81362896482,"Female",2015
"673",2015-12-09,775722.642881025,5249.35508712253,"Female",2015
"674",2015-12-16,781270.006571209,5547.3636901835,"Female",2015
"675",2015-12-23,786157.841038221,4887.83446701209,"Female",2015
"676",2015-12-31,790367.716051811,4209.87501358963,"Female",2015
"677",2016-01-07,796925.33566939,6557.61961757927,"Female",2016
"678",2016-01-14,803013.49520649,6088.15953710058,"Female",2016
"679",2016-01-21,808802.613533803,5789.11832731287,"Female",2016
"680",2016-01-28,814656.452990658,5853.83945685474,"Female",2016
"681",2016-02-04,820300.294620183,5643.84162952495,"Female",2016
"682",2016-02-11,826073.919549018,5773.62492883555,"Female",2016
"683",2016-02-18,831438.263335346,5364.34378632798,"Female",2016
"684",2016-02-25,837122.12623496,5683.86289961357,"Female",2016
"685",2016-03-03,842914.48828458,5792.36204962013,"Female",2016
"686",2016-03-10,848464.162609226,5549.67432464624,"Female",2016
"687",2016-03-17,854100.528916998,5636.36630777153,"Female",2016
"688",2016-03-24,859086.109477884,4985.58056088572,"Female",2016
"689",2016-03-31,864309.213929485,5223.10445160128,"Female",2016
"690",2016-04-07,870263.069789599,5953.85586011433,"Female",2016
"691",2016-04-14,876107.967553517,5844.89776391792,"Female",2016
"692",2016-04-21,881720.634340355,5612.66678683809,"Female",2016
"693",2016-04-28,887106.270595266,5385.63625491026,"Female",2016
"694",2016-05-05,891675.216223189,4568.94562792336,"Female",2016
"695",2016-05-12,896954.077339967,5278.86111677834,"Female",2016
"696",2016-05-19,902054.970043764,5100.89270379697,"Female",2016
"697",2016-05-26,907091.949190515,5036.97914675088,"Female",2016
"698",2016-06-02,911134.361474059,4042.41228354361,"Female",2016
"699",2016-06-09,916066.211327244,4931.8498531857,"Female",2016
"700",2016-06-16,920832.12557848,4765.91425123531,"Female",2016
"701",2016-06-23,925455.435046883,4623.30946840358,"Female",2016
"702",2016-06-30,930203.629860809,4748.19481392601,"Female",2016
"703",2016-07-07,934819.879329122,4616.24946831225,"Female",2016
"704",2016-07-14,939592.453405795,4772.57407667348,"Female",2016
"705",2016-07-21,944236.213753238,4643.76034744247,"Female",2016
"706",2016-07-28,948952.872339272,4716.65858603467,"Female",2016
"707",2016-08-04,953580.67589842,4627.80355914775,"Female",2016
"708",2016-08-11,958238.610655969,4657.93475754932,"Female",2016
"709",2016-08-18,962764.616171581,4526.00551561126,"Female",2016
"710",2016-08-25,967471.822616892,4707.20644531166,"Female",2016
"711",2016-09-01,971462.274118868,3990.451501976,"Female",2016
"712",2016-09-08,976129.191694807,4666.91757593874,"Female",2016
"713",2016-09-15,980794.198168959,4665.00647415256,"Female",2016
"714",2016-09-22,985295.368399035,4501.17023007525,"Female",2016
"715",2016-09-29,989758.532316535,4463.16391749983,"Female",2016
"716",2016-10-06,994398.499419375,4639.96710284066,"Female",2016
"717",2016-10-13,999276.160968064,4877.66154868866,"Female",2016
"718",2016-10-20,1004215.02580458,4938.86483651563,"Female",2016
"719",2016-10-27,1009103.62211099,4888.59630641504,"Female",2016
"720",2016-11-03,1014251.82685931,5148.20474831981,"Female",2016
"721",2016-11-10,1019595.64479577,5343.81793645723,"Female",2016
"722",2016-11-17,1024974.44526955,5378.80047378107,"Female",2016
"723",2016-11-24,1030391.5449715,5417.09970194637,"Female",2016
"724",2016-12-01,1035718.12703104,5326.58205954148,"Female",2016
"725",2016-12-08,1041508.27343495,5790.14640391083,"Female",2016
"726",2016-12-15,1046955.78214461,5447.50870965456,"Female",2016
"727",2016-12-22,1052993.00323444,6037.22108983248,"Female",2016
"728",2016-12-30,1057898,4904.99676556163,"Female",2016
"729",2017-01-07,1065219.43276763,7321.43276762916,"Female",2017
"730",2017-01-14,1072410.31453188,7190.88176425011,"Female",2017
"731",2017-01-21,1079538.62980456,7128.31527268304,"Female",2017
"732",2017-01-28,1086229.32659973,6690.69679516298,"Female",2017
"733",2017-02-04,1092657.32618721,6427.99958748161,"Female",2017
"734",2017-02-11,1099025.25786428,6367.93167706835,"Female",2017
"735",2017-02-18,1104983.62777843,5958.36991415732,"Female",2017
"736",2017-02-25,1111175.58379167,6191.95601324108,"Female",2017
"737",2017-03-04,1116983.41023272,5807.82644104213,"Female",2017
"738",2017-03-11,1122610.55953402,5627.14930130751,"Female",2017
"739",2017-03-18,1128074.31664577,5463.75711174472,"Female",2017
"740",2017-03-25,1133278.85026774,5204.53362197638,"Female",2017
"741",2017-04-01,1138414.64379929,5135.79353154497,"Female",2017
"742",2017-04-08,1143272.15179457,4857.50799528393,"Female",2017
"743",2017-04-15,1147595.17467839,4323.02288382105,"Female",2017
"744",2017-04-22,1152602.37398165,5007.19930325099,"Female",2017
"745",2017-04-29,1157964.47516762,5362.10118597373,"Female",2017
"746",2017-05-06,1162520.69910881,4556.22394119226,"Female",2017
"747",2017-05-13,1167915.97621055,5395.27710173535,"Female",2017
"748",2017-05-20,1173105.13365833,5189.15744778444,"Female",2017
"749",2017-05-27,1178024.28798995,4919.15433161659,"Female",2017
"750",2017-06-03,1182264.18376963,4239.89577968558,"Female",2017
"751",2017-06-10,1187146.88946796,4882.70569832879,"Female",2017
"752",2017-06-17,1191837.48576377,4690.59629580448,"Female",2017
"753",2017-06-24,1196679.08584432,4841.60008055228,"Female",2017
"754",2017-07-01,1201388.97843913,4709.89259481407,"Female",2017
"755",2017-07-08,1205923.35608428,4534.3776451475,"Female",2017
"756",2017-07-15,1210578.51267564,4655.15659135999,"Female",2017
"757",2017-07-22,1215048.00429188,4469.49161623465,"Female",2017
"758",2017-07-29,1219508.613014,4460.60872212704,"Female",2017
"759",2017-08-05,1223993.77397282,4485.16095881443,"Female",2017
"760",2017-08-12,1228480.36106558,4486.58709276095,"Female",2017
"761",2017-08-19,1233183.2045054,4702.84343982092,"Female",2017
"762",2017-08-26,1237807.97834723,4624.77384183253,"Female",2017
"763",2017-09-02,1241923.22321355,4115.24486631807,"Female",2017
"764",2017-09-09,1246685.27748662,4762.05427307007,"Female",2017
"765",2017-09-16,1251359.74555718,4674.46807055641,"Female",2017
"766",2017-09-23,1256129.11637797,4769.37082079775,"Female",2017
"767",2017-09-30,1261038.11254609,4908.99616811867,"Female",2017
"768",2017-10-07,1265977.85909364,4939.74654754391,"Female",2017
"769",2017-10-14,1271021.36944671,5043.51035307604,"Female",2017
"770",2017-10-21,1276013.93717199,4992.56772528286,"Female",2017
"771",2017-10-28,1280909.2521277,4895.31495570508,"Female",2017
"772",2017-11-04,1285956.42166414,5047.16953644459,"Female",2017
"773",2017-11-11,1291068.54518074,5112.12351659243,"Female",2017
"774",2017-11-18,1296266.86991612,5198.32473537861,"Female",2017
"775",2017-11-25,1301633.02180203,5366.15188591625,"Female",2017
"776",2017-12-02,1306988.43354631,5355.41174428025,"Female",2017
"777",2017-12-09,1312403.6026133,5415.16906699189,"Female",2017
"778",2017-12-16,1318315.90527161,5912.30265830597,"Female",2017
"779",2017-12-23,1324609.34772883,6293.44245721842,"Female",2017
"780",2017-12-31,1329987.33155919,5377.98383036186,"Female",2017
"781",2018-01-07,1337357.1990515,7369.86749231466,"Female",2018
"782",2018-01-14,1345222.74103946,7865.54198795138,"Female",2018
"783",2018-01-21,1352602.16332128,7379.42228182685,"Female",2018
"784",2018-01-28,1359786.95844509,7184.79512380855,"Female",2018
"785",2018-02-04,1366538.35275258,6751.39430748741,"Female",2018
"786",2018-02-11,1372837.11450961,6298.76175702899,"Female",2018
"787",2018-02-18,1379096.37288246,6259.25837285118,"Female",2018
"788",2018-02-25,1385212.51640954,6116.14352707658,"Female",2018
"789",2018-03-04,1390996.19121701,5783.67480747192,"Female",2018
"790",2018-03-11,1397834.68665246,6838.49543545512,"Female",2018
"791",2018-03-18,1404362.23710025,6527.55044779228,"Female",2018
"792",2018-03-25,1410164.4086783,5802.17157804128,"Female",2018
"793",2018-04-01,1415192.85413408,5028.44545578607,"Female",2018
"794",2018-04-08,1420997.43134514,5804.57721105893,"Female",2018
"795",2018-04-15,1427129.39716174,6131.96581659629,"Female",2018
"796",2018-04-22,1432610.95085339,5481.55369165237,"Female",2018
"797",2018-04-29,1437833.04140721,5222.0905538206,"Female",2018
"798",2018-05-06,1442626.04386762,4793.00246041175,"Female",2018
"799",2018-05-13,1447049.64901151,4423.60514389118,"Female",2018
"800",2018-05-20,1452166.00148574,5116.35247422755,"Female",2018
"801",2018-05-27,1456626.79110966,4460.78962392127,"Female",2018
"802",2018-06-03,1460868.33844879,4241.54733912577,"Female",2018
"803",2018-06-10,1465889.93964329,5021.60119450255,"Female",2018
"804",2018-06-17,1470410.14787601,4520.20823271852,"Female",2018
"805",2018-06-24,1474931.00529582,4520.85741981235,"Female",2018
"806",2018-07-01,1479516.7405617,4585.735265875,"Female",2018
"807",2018-07-08,1484114.39980433,4597.65924263536,"Female",2018
"808",2018-07-15,1488690.19666412,4575.79685979313,"Female",2018
"809",2018-07-22,1493177.08759165,4486.89092752174,"Female",2018
"810",2018-07-29,1497764.26054946,4587.17295781639,"Female",2018
"811",2018-08-05,1502392.38916094,4628.12861147523,"Female",2018
"812",2018-08-12,1506865.52391465,4473.13475371664,"Female",2018
"813",2018-08-19,1511302.60555945,4437.08164479514,"Female",2018
"814",2018-08-26,1515615.81478049,4313.20922103943,"Female",2018
"815",2018-09-02,1519733.56097457,4117.74619407929,"Female",2018
"816",2018-09-09,1524475.89175855,4742.33078398393,"Female",2018
"817",2018-09-16,1529049.40551892,4573.51376036392,"Female",2018
"818",2018-09-23,1533636.57654479,4587.17102587293,"Female",2018
"819",2018-09-30,1538184.55943895,4547.98289416172,"Female",2018
"820",2018-10-07,1542955.7192271,4771.15978815104,"Female",2018
"821",2018-10-14,1547782.95432319,4827.2350960914,"Female",2018
"822",2018-10-21,1552634.18651219,4851.23218899919,"Female",2018
"823",2018-10-28,1557337.63198955,4703.44547735807,"Female",2018
"824",2018-11-04,1562151.82780366,4814.19581410475,"Female",2018
"825",2018-11-11,1567302.68361798,5150.85581432772,"Female",2018
"826",2018-11-18,1572310.07329292,5007.38967493991,"Female",2018
"827",2018-11-25,1577327.9940558,5017.92076288071,"Female",2018
"828",2018-12-02,1582452.41112526,5124.41706945561,"Female",2018
"829",2018-12-09,1587681.50138485,5229.09025958856,"Female",2018
"830",2018-12-16,1593232.57458899,5551.07320414344,"Female",2018
"831",2018-12-23,1598204.34020088,4971.76561188395,"Female",2018
"832",2018-12-31,1602955.33437011,4750.99416923476,"Female",2018
"833",2019-01-07,1609315.32694681,6359.99257669644,"Female",2019
"834",2019-01-14,1615562.93801759,6247.61107078264,"Female",2019
"835",2019-01-21,1621444.06383998,5881.12582238857,"Female",2019
"836",2019-01-28,1627208.27017935,5764.20633937116,"Female",2019
"837",2019-02-04,1632945.29859131,5737.02841196372,"Female",2019
"838",2019-02-11,1638907.28472654,5961.98613522295,"Female",2019
"839",2019-02-18,1644745.98232762,5838.69760108041,"Female",2019
"840",2019-02-25,1650354.69558399,5608.713256374,"Female",2019
"841",2019-03-04,1655843.34029269,5488.64470870025,"Female",2019
"842",2019-03-11,1661172.35723942,5329.01694672625,"Female",2019
"843",2019-03-18,1666480.72346101,5308.36622159602,"Female",2019
"844",2019-03-25,1671554.33492236,5073.61146135023,"Female",2019
"845",2019-04-01,1676516.72402155,4962.38909918373,"Female",2019
"846",2019-04-08,1681685.3899827,5168.6659611566,"Female",2019
"847",2019-04-15,1686506.2641526,4820.87416989263,"Female",2019
"848",2019-04-22,1691085.64670137,4579.38254877692,"Female",2019
"849",2019-04-29,1696540.26274454,5454.61604316323,"Female",2019
