"","Date","All","Female","Male","Year","WeekNumber","Nation"
"168",2016-03-24,58248518.0327869,29488544.2622951,28759973.7704918,2016,12,"EW"
"169",2016-03-31,58258002.4590164,29492669.6721311,28765332.7868852,2016,13,"EW"
"170",2016-04-07,58267486.8852459,29496795.0819672,28770691.8032787,2016,14,"EW"
"171",2016-04-14,58276971.3114754,29500920.4918033,28776050.8196721,2016,15,"EW"
"172",2016-04-21,58286455.7377049,29505045.9016393,28781409.8360656,2016,16,"EW"
"173",2016-04-28,58295940.1639344,29509171.3114754,28786768.852459,2016,17,"EW"
"174",2016-05-05,58305424.5901639,29513296.7213115,28792127.8688525,2016,18,"EW"
"175",2016-05-12,58314909.0163934,29517422.1311475,28797486.8852459,2016,19,"EW"
"176",2016-05-19,58324393.442623,29521547.5409836,28802845.9016393,2016,20,"EW"
"177",2016-05-26,58333877.8688525,29525672.9508197,28808204.9180328,2016,21,"EW"
"178",2016-06-02,58343362.295082,29529798.3606557,28813563.9344262,2016,22,"EW"
"179",2016-06-09,58352846.7213115,29533923.7704918,28818922.9508197,2016,23,"EW"
"180",2016-06-16,58362331.147541,29538049.1803279,28824281.9672131,2016,24,"EW"
"181",2016-06-23,58371815.5737705,29542174.5901639,28829640.9836066,2016,25,"EW"
"182",2016-06-30,58381300,29546300,28835000,2016,26,"EW"
"183",2016-07-07,58388267.3013699,29549695.3260274,28838571.9753425,2016,27,"EW"
"184",2016-07-14,58395234.6027397,29553090.6520548,28842143.9506849,2016,28,"EW"
"185",2016-07-21,58402201.9041096,29556485.9780822,28845715.9260274,2016,29,"EW"
"186",2016-07-28,58409169.2054795,29559881.3041096,28849287.9013699,2016,30,"EW"
"187",2016-08-04,58416136.5068493,29563276.630137,28852859.8767123,2016,31,"EW"
"188",2016-08-11,58423103.8082192,29566671.9561644,28856431.8520548,2016,32,"EW"
"189",2016-08-18,58430071.109589,29570067.2821918,28860003.8273973,2016,33,"EW"
"190",2016-08-25,58437038.4109589,29573462.6082192,28863575.8027397,2016,34,"EW"
"191",2016-09-01,58444005.7123288,29576857.9342466,28867147.7780822,2016,35,"EW"
"192",2016-09-08,58450973.0136986,29580253.260274,28870719.7534247,2016,36,"EW"
"193",2016-09-15,58457940.3150685,29583648.5863014,28874291.7287671,2016,37,"EW"
"194",2016-09-22,58464907.6164384,29587043.9123288,28877863.7041096,2016,38,"EW"
"195",2016-09-29,58471874.9178082,29590439.2383562,28881435.6794521,2016,39,"EW"
"196",2016-10-06,58478842.2191781,29593834.5643836,28885007.6547945,2016,40,"EW"
"197",2016-10-13,58485809.5205479,29597229.890411,28888579.630137,2016,41,"EW"
"198",2016-10-20,58492776.8219178,29600625.2164384,28892151.6054795,2016,42,"EW"
"199",2016-10-27,58499744.1232877,29604020.5424658,28895723.5808219,2016,43,"EW"
"200",2016-11-03,58506711.4246575,29607415.8684932,28899295.5561644,2016,44,"EW"
"201",2016-11-10,58513678.7260274,29610811.1945205,28902867.5315068,2016,45,"EW"
"202",2016-11-17,58520646.0273973,29614206.5205479,28906439.5068493,2016,46,"EW"
"203",2016-11-24,58527613.3287671,29617601.8465753,28910011.4821918,2016,47,"EW"
"204",2016-12-01,58534580.630137,29620997.1726027,28913583.4575342,2016,48,"EW"
"205",2016-12-08,58541547.9315068,29624392.4986301,28917155.4328767,2016,49,"EW"
"206",2016-12-15,58548515.2328767,29627787.8246575,28920727.4082192,2016,50,"EW"
"207",2016-12-22,58555482.5342466,29631183.1506849,28924299.3835616,2016,51,"EW"
"208",2016-12-30,58563445.1643836,29635063.5232877,28928381.6410959,2016,52,"EW"
"209",2017-01-07,58571407.7945205,29638943.8958904,28932463.8986301,2017,1,"EW"
"210",2017-01-14,58578375.0958904,29642339.2219178,28936035.8739726,2017,2,"EW"
"211",2017-01-21,58585342.3972603,29645734.5479452,28939607.8493151,2017,3,"EW"
"212",2017-01-28,58592309.6986301,29649129.8739726,28943179.8246575,2017,4,"EW"
"213",2017-02-04,58599277,29652525.2,28946751.8,2017,5,"EW"
"214",2017-02-11,58606244.3013699,29655920.5260274,28950323.7753425,2017,6,"EW"
"215",2017-02-18,58613211.6027397,29659315.8520548,28953895.7506849,2017,7,"EW"
"216",2017-02-25,58620178.9041096,29662711.1780822,28957467.7260274,2017,8,"EW"
"217",2017-03-04,58627146.2054795,29666106.5041096,28961039.7013699,2017,9,"EW"
"218",2017-03-11,58634113.5068493,29669501.830137,28964611.6767123,2017,10,"EW"
"219",2017-03-18,58641080.8082192,29672897.1561644,28968183.6520548,2017,11,"EW"
"220",2017-03-25,58648048.109589,29676292.4821918,28971755.6273973,2017,12,"EW"
"221",2017-04-01,58655015.4109589,29679687.8082192,28975327.6027397,2017,13,"EW"
"222",2017-04-08,58661982.7123288,29683083.1342466,28978899.5780822,2017,14,"EW"
"223",2017-04-15,58668950.0136986,29686478.460274,28982471.5534247,2017,15,"EW"
"224",2017-04-22,58675917.3150685,29689873.7863014,28986043.5287671,2017,16,"EW"
"225",2017-04-29,58682884.6164384,29693269.1123288,28989615.5041096,2017,17,"EW"
"226",2017-05-06,58689851.9178082,29696664.4383562,28993187.4794521,2017,18,"EW"
"227",2017-05-13,58696819.2191781,29700059.7643836,28996759.4547945,2017,19,"EW"
"228",2017-05-20,58703786.5205479,29703455.090411,29000331.430137,2017,20,"EW"
"229",2017-05-27,58710753.8219178,29706850.4164384,29003903.4054795,2017,21,"EW"
"230",2017-06-03,58717721.1232877,29710245.7424658,29007475.3808219,2017,22,"EW"
"231",2017-06-10,58724688.4246575,29713641.0684932,29011047.3561644,2017,23,"EW"
"232",2017-06-17,58731655.7260274,29717036.3945205,29014619.3315068,2017,24,"EW"
"233",2017-06-24,58738623.0273973,29720431.7205479,29018191.3068493,2017,25,"EW"
"234",2017-07-01,58745612.0246575,29723827.5232877,29021784.5013699,2017,26,"EW"
"235",2017-07-08,58752731.1972603,29727226.1863014,29025505.0109589,2017,27,"EW"
"236",2017-07-15,58759850.369863,29730624.8493151,29029225.5205479,2017,28,"EW"
"237",2017-07-22,58766969.5424658,29734023.5123288,29032946.030137,2017,29,"EW"
"238",2017-07-29,58774088.7150685,29737422.1753425,29036666.539726,2017,30,"EW"
"239",2017-08-05,58781207.8876712,29740820.8383562,29040387.0493151,2017,31,"EW"
