"","Date","All","WeekNumber","Nation","Year","Female","Male"
"356",2019-11-04,1899214.37704918,44,"NI",2019,0,0
"357",2019-11-11,1899252.70491803,45,"NI",2019,0,0
"358",2019-11-18,1899291.03278689,46,"NI",2019,0,0
"359",2019-11-25,1899329.36065574,47,"NI",2019,0,0
"360",2019-12-02,1899367.68852459,48,"NI",2019,0,0
"361",2019-12-09,1899406.01639344,49,"NI",2019,0,0
"362",2019-12-16,1899444.3442623,50,"NI",2019,0,0
"363",2019-12-23,1899482.67213115,51,"NI",2019,0,0
"364",2019-12-31,1899526.47540984,52,"NI",2019,0,0
"365",2020-01-07,1899564.80327869,1,"NI",2020,0,0
"366",2020-01-14,1899603.13114754,2,"NI",2020,0,0
"367",2020-01-21,1899641.45901639,3,"NI",2020,0,0
"368",2020-01-28,1899679.78688525,4,"NI",2020,0,0
"369",2020-02-04,1899718.1147541,5,"NI",2020,0,0
"370",2020-02-11,1899756.44262295,6,"NI",2020,0,0
"371",2020-02-18,1899794.7704918,7,"NI",2020,0,0
"372",2020-02-25,1899833.09836066,8,"NI",2020,0,0
"373",2020-03-03,1899871.42622951,9,"NI",2020,0,0
"374",2020-03-10,1899909.75409836,10,"NI",2020,0,0
"375",2020-03-17,1899948.08196721,11,"NI",2020,0,0
"376",2020-03-24,1899986.40983607,12,"NI",2020,0,0
"377",2020-03-31,1900024.73770492,13,"NI",2020,0,0
"378",2020-04-07,1900063.06557377,14,"NI",2020,0,0
"379",2020-04-14,1900101.39344262,15,"NI",2020,0,0
"380",2020-04-21,1900139.72131148,16,"NI",2020,0,0
"381",2020-04-28,1900178.04918033,17,"NI",2020,0,0
"382",2020-05-05,1900216.37704918,18,"NI",2020,0,0
"383",2020-05-12,1900254.70491803,19,"NI",2020,0,0
"384",2020-05-19,1900293.03278689,20,"NI",2020,0,0
"385",2020-05-26,1900331.36065574,21,"NI",2020,0,0
"386",2020-06-02,1900369.68852459,22,"NI",2020,0,0
"387",2020-06-09,1900408.01639344,23,"NI",2020,0,0
"388",2020-06-16,1900446.3442623,24,"NI",2020,0,0
"389",2020-06-23,1900484.67213115,25,"NI",2020,0,0
"390",2020-06-30,1900523,26,"NI",2020,0,0
"391",2020-07-07,1900600.49863014,27,"NI",2020,0,0
"392",2020-07-14,1900677.99726027,28,"NI",2020,0,0
"393",2020-07-21,1900755.49589041,29,"NI",2020,0,0
"394",2020-07-28,1900832.99452055,30,"NI",2020,0,0
"395",2020-08-04,1900910.49315068,31,"NI",2020,0,0
"396",2020-08-11,1900987.99178082,32,"NI",2020,0,0
"397",2020-08-18,1901065.49041096,33,"NI",2020,0,0
"398",2020-08-25,1901142.9890411,34,"NI",2020,0,0
"399",2020-09-01,1901220.48767123,35,"NI",2020,0,0
"400",2020-09-08,1901297.98630137,36,"NI",2020,0,0
"401",2020-09-15,1901375.48493151,37,"NI",2020,0,0
"402",2020-09-22,1901452.98356164,38,"NI",2020,0,0
"403",2020-09-29,1901530.48219178,39,"NI",2020,0,0
"404",2020-10-06,1901607.98082192,40,"NI",2020,0,0
"405",2020-10-13,1901685.47945205,41,"NI",2020,0,0
"406",2020-10-20,1901762.97808219,42,"NI",2020,0,0
"407",2020-10-27,1901840.47671233,43,"NI",2020,0,0
"408",2020-11-03,1901917.97534247,44,"NI",2020,0,0
"409",2020-11-10,1901995.4739726,45,"NI",2020,0,0
"410",2020-11-17,1902072.97260274,46,"NI",2020,0,0
"411",2020-11-24,1902150.47123288,47,"NI",2020,0,0
"412",2020-12-01,1902227.96986301,48,"NI",2020,0,0
"413",2020-12-08,1902305.46849315,49,"NI",2020,0,0
"414",2020-12-15,1902382.96712329,50,"NI",2020,0,0
"415",2020-12-22,1902460.46575342,51,"NI",2020,0,0
"416",2020-12-30,1902549.03561644,52,"NI",2020,0,0
"417",2021-01-07,1902637.60547945,1,"NI",2021,0,0
"418",2021-01-14,1902715.10410959,2,"NI",2021,0,0
"419",2021-01-21,1902792.60273973,3,"NI",2021,0,0
"420",2021-01-28,1902870.10136986,4,"NI",2021,0,0
"421",2021-02-04,1902947.6,5,"NI",2021,0,0
"422",2021-02-11,1903025.09863014,6,"NI",2021,0,0
"423",2021-02-18,1903102.59726027,7,"NI",2021,0,0
"424",2021-02-25,1903180.09589041,8,"NI",2021,0,0
"425",2021-03-04,1903257.59452055,9,"NI",2021,0,0
"426",2021-03-11,1903335.09315068,10,"NI",2021,0,0
"427",2021-03-18,1903412.59178082,11,"NI",2021,0,0
"428",2021-03-25,1903490.09041096,12,"NI",2021,0,0
"429",2021-04-01,1903567.5890411,13,"NI",2021,0,0
"430",2021-04-08,1903645.08767123,14,"NI",2021,0,0
"431",2021-04-15,1903722.58630137,15,"NI",2021,0,0
"432",2021-04-22,1903800.08493151,16,"NI",2021,0,0
"433",2021-04-29,1903877.58356164,17,"NI",2021,0,0
"434",2021-05-06,1903955.08219178,18,"NI",2021,0,0
"435",2021-05-13,1904032.58082192,19,"NI",2021,0,0
"436",2021-05-20,1904110.07945205,20,"NI",2021,0,0
"437",2021-05-27,1904187.57808219,21,"NI",2021,0,0
"438",2021-06-03,1904265.07671233,22,"NI",2021,0,0
"439",2021-06-10,1904342.57534247,23,"NI",2021,0,0
"440",2021-06-17,1904420.0739726,24,"NI",2021,0,0
"441",2021-06-24,1904497.57260274,25,"NI",2021,0,0
"442",2021-07-01,1904580.2630137,26,"NI",2021,0,0
"443",2021-07-08,1904694.10410959,27,"NI",2021,0,0
"444",2021-07-15,1904807.94520548,28,"NI",2021,0,0
"445",2021-07-22,1904921.78630137,29,"NI",2021,0,0
"446",2021-07-29,1905035.62739726,30,"NI",2021,0,0
"447",2021-08-05,1905149.46849315,31,"NI",2021,0,0
"448",2021-08-12,1905263.30958904,32,"NI",2021,0,0
